,Movie Name,Year of Release,Rating,Genre,Runtime,No. of Voters,Director and Cast
278,Ram Setu,-2022,5.2,"Action, Adventure",140 min,"16,673","    Director:Abhishek Sharma|     Stars:Akshay Kumar, Jacqueline Fernandez, Nushrratt Bharuccha, Nassar"
279,Section 375,-2019,8.1,"Crime, Drama, Mystery",124 min,"16,673","    Director:Ajay Bahl|     Stars:Akshaye Khanna, Richa Chadha, Rahul Bhat, Meera Chopra"
280,Karwaan,-2018,7.6,"Adventure, Comedy, Drama",114 min,"16,560","    Director:Akarsh Khurana|     Stars:Irrfan Khan, Dulquer Salmaan, Mithila Palkar, Amala Akkineni"
281,Love Aaj Kal,-2009,6.8,"Comedy, Drama, Romance",128 min,"16,539","    Director:Imtiaz Ali|     Stars:Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna"
282,The Big Bull,-2021,5.7,"Biography, Crime, Drama",153 min,"16,536","    Director:Kookie Gulati|     Stars:Abhishek Bachchan, Nikita Dutta, Ileana D'Cruz, Sanjeev Pandey"
283,October,(II) (2018),7.5,"Drama, Romance",115 min,"16,523","    Director:Shoojit Sircar|     Stars:Varun Dhawan, Banita Sandhu, Gitanjali Rao, Sahil Vedoliyaa"
284,Shaadi Mein Zaroor Aana,-2017,7.5,"Drama, Romance",137 min,"16,415","    Director:Ratnaa Sinha|     Stars:Rajkummar Rao, Kriti Kharbanda, K.K. Raina, Alka Amin"
285,Garam Masala,-2005,6.7,"Comedy, Romance",146 min,"16,396","    Director:Priyadarshan|     Stars:Akshay Kumar, John Abraham, Paresh Rawal, Rimi Sen"
286,Kalank,-2019,3.5,"Drama, Romance",166 min,"16,295","    Director:Abhishek Varman|     Stars:Alia Bhatt, Kiara Advani, Kriti Sanon, Varun Dhawan"
287,Lootera,(I) (2013),7.4,"Drama, Romance",136 min,"16,228","    Director:Vikramaditya Motwane|     Stars:Ranveer Singh, Sonakshi Sinha, Barun Chanda, Adil Hussain"
288,Khakee,-2004,7.4,"Action, Crime, Drama",174 min,"16,227","    Director:Rajkumar Santoshi|     Stars:Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai Bachchan"
289,Attack,-2022,6.8,"Action, Sci-Fi, Thriller",121 min,"16,148","    Director:Lakshya Raj Anand|     Stars:John Abraham, Rakul Preet Singh, Jacqueline Fernandez, Prakash Raj"
290,Mujhse Shaadi Karogi,-2004,6.7,"Comedy, Romance",163 min,"16,134","    Director:David Dhawan|     Stars:Salman Khan, Akshay Kumar, Priyanka Chopra Jonas, Amrish Puri"
291,Tanu Weds Manu,-2011,6.8,"Comedy, Drama, Romance",119 min,"16,076","    Director:Aanand L. Rai|     Stars:Madhavan, Kangana Ranaut, Jimmy Shergill, Deepak Dobriyal"
292,Hungama,-2003,7.6,"Comedy, Drama, Romance",153 min,"16,063","    Director:Priyadarshan|     Stars:Akshaye Khanna, Aftab Shivdasani, Rimi Sen, Paresh Rawal"
293,Mr. India,-1987,7.7,"Action, Comedy, Drama",179 min,"16,015","    Director:Shekhar Kapur|     Stars:Anil Kapoor, Sridevi, Amrish Puri, Satish Kaushik"
294,Chalte Chalte,-2003,6.5,"Drama, Romance",167 min,"15,960","    Director:Aziz Mirza|     Stars:Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah"
295,Satyameva Jayate 2,-2021,4.1,"Action, Crime, Drama",138 min,"15,933","    Director:Milap Zaveri|     Stars:John Abraham, Divya Khosla Kumar, Harsh Chhaya, Gautami Kapoor"
296,Singh Is Kinng,-2008,5.7,"Action, Comedy, Crime",135 min,"15,880","    Director:Anees Bazmee|     Stars:Akshay Kumar, Katrina Kaif, Om Puri, Kirron Kher"
297,Kaho Naa... Pyaar Hai,-2000,6.9,"Action, Musical, Romance",172 min,"15,848","    Director:Rakesh Roshan|     Stars:Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil"
298,Manikarnika: The Queen of Jhansi,-2019,6.4,"Action, Biography, Drama",148 min,"15,838","    Directors:Radha Krishna Jagarlamudi, Kangana Ranaut|     Stars:Ahmad Harhash, Kangana Ranaut, Danny Denzongpa, Suresh Oberoi"
299,Company,-2002,8,"Action, Crime, Drama",142 min,"15,775","    Director:Ram Gopal Varma|     Stars:Ajay Devgn, Mohanlal, Manisha Koirala, Seema Biswas"
300,Hasee Toh Phasee,-2014,6.8,"Comedy, Romance",141 min,"15,743","    Director:Vinil Mathew|     Stars:Sidharth Malhotra, Parineeti Chopra, Adah Sharma, Manoj Joshi"
301,Satya,-1998,8.3,"Action, Crime, Drama",170 min,"15,715","    Director:Ram Gopal Varma|     Stars:J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar, Paresh Rawal"
302,Pyaar Ka Punchnama 2,-2015,7.3,"Comedy, Drama, Romance",137 min,"15,660","    Director:Luv Ranjan|     Stars:Kartik Aaryan, Omkar Kapoor, Sunny Singh, Nushrratt Bharuccha"
303,Dostana,-2008,6.5,"Comedy, Drama, Romance",145 min,"15,606","    Directors:Tarun Mansukhani, Punit Malhotra|     Stars:Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas, Kirron Kher"
304,Ajab Prem Ki Ghazab Kahani,-2009,6.4,"Action, Comedy, Musical",150 min,"15,590","    Director:Rajkumar Santoshi|     Stars:Ranbir Kapoor, Katrina Kaif, Darshan Jariwala, Smita Jaykar"
305,Gulaal,-2009,8,"Crime, Drama, Thriller",140 min,"15,404","    Director:Anurag Kashyap|     Stars:Kay Kay Menon, Raj Singh Chaudhary, Raja Chaudhary, Jesse Randhawa"
306,Pardes,-1997,6.9,"Drama, Musical, Romance",191 min,"15,369","    Director:Subhash Ghai|     Stars:Shah Rukh Khan, Mahima Chaudhry, Amrish Puri, Apurva Agnihotri"
307,Race,(I) (2008),6.6,"Action, Crime, Drama",149 min,"15,366","    Directors:Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla|     Stars:Saif Ali Khan, Akshaye Khanna, Bipasha Basu, Katrina Kaif"
308,HIT: The First Case,-2022,6.8,"Action, Crime, Drama",132 min,"15,354","    Director:Sailesh Kolanu|     Stars:Rajkummar Rao, Sanya Malhotra, Akhil Iyer, Jatin Goswami"
309,Raman Raghav 2.0,-2016,7.3,"Crime, Drama, Thriller",133 min,"15,353","    Director:Anurag Kashyap|     Stars:Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala, Mukesh Chhabra"
310,Shikara,-2020,3.3,"Drama, History, Romance",118 min,"15,346","    Director:Vidhu Vinod Chopra|     Stars:Sadia Khateeb, Aadil Khan, Zain Khan Durrani, Priyanshu Chatterjee"
311,Bala,-2019,7.3,Comedy,133 min,"15,312","    Director:Amar Kaushik|     Stars:Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam, Saurabh Shukla"
312,Heyy Babyy,-2007,6,"Comedy, Drama",144 min,"15,258","    Director:Sajid Khan|     Stars:Akshay Kumar, Fardeen Khan, Riteish Deshmukh, Vidya Balan"
313,Housefull 2,-2012,5.3,"Action, Comedy, Drama",145 min,"15,213","    Director:Sajid Khan|     Stars:Akshay Kumar, John Abraham, Asin Thottumkal, Jacqueline Fernandez"
314,Bhediya,-2022,7.3,"Comedy, Horror, Thriller",156 min,"15,206","    Director:Amar Kaushik|     Stars:Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal"
315,Dream Girl,(III) (2019),7,"Comedy, Romance",132 min,"15,156","    Director:Raaj Shaandilyaa|     Stars:Ayushmann Khurrana, Nushrratt Bharuccha, Annu Kapoor, Manjot Singh"
316,Water,(I) (2005),7.7,Drama,117 min,"15,118","    Director:Deepa Mehta|     Stars:Lisa Ray, John Abraham, Seema Biswas, Sarala Kariyawasam"
317,Karan Arjun,-1995,6.8,"Action, Drama, Fantasy",175 min,"15,114","    Director:Rakesh Roshan|     Stars:Rakhee Gulzar, Salman Khan, Shah Rukh Khan, Amrish Puri"
318,Ek Villain Returns,-2022,4.4,"Action, Crime, Romance",129 min,"15,085","    Director:Mohit Suri|     Stars:John Abraham, Disha Patani, Arjun Kapoor, Tara Sutaria"
319,Housefull,-2010,5.5,"Comedy, Drama, Romance",144 min,"14,967","    Director:Sajid Khan|     Stars:Akshay Kumar, Deepika Padukone, Riteish Deshmukh, Lara Dutta"
320,The Girl on the Train,-2021,4,"Crime, Drama, Mystery",120 min,"14,789","    Director:Ribhu Dasgupta|     Stars:Parineeti Chopra, Aditi Rao Hydari, Kirti Kulhari, Rajiv Chabria"
321,AK vs AK,-2020,6.9,"Action, Comedy, Crime",108 min,"14,734","    Director:Vikramaditya Motwane|     Stars:Anil Kapoor, Anurag Kashyap, Sonam Kapoor, Harshvardhan Kapoor"
322,Hum Tum,-2004,7,"Comedy, Drama, Romance",143 min,"14,683","    Director:Kunal Kohli|     Stars:Saif Ali Khan, Rani Mukerji, Kirron Kher, Rati Agnihotri"
323,Sanam Teri Kasam,-2016,7.5,"Drama, Musical, Romance",154 min,"14,664","    Directors:Radhika Rao, Vinay Sapru|     Stars:Harshvardhan Rane, Mawra Hocane, Vijay Raaz, Murli Sharma"
324,Chandigarh Kare Aashiqui,-2021,6.8,"Comedy, Crime, Drama",117 min,"14,636","    Director:Abhishek Kapoor|     Stars:Ayushmann Khurrana, Vaani Kapoor, Yograj Singh, Anjan Srivastav"
325,Asoka,-2001,6.4,"Action, Biography, Drama",180 min,"14,596","    Director:Santosh Sivan|     Stars:Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt"
326,Madaari,-2016,7.6,"Drama, Thriller",133 min,"14,587","    Director:Nishikant Kamat|     Stars:Irrfan Khan, Jimmy Shergill, Vishesh Bansal, Tushar Dalvi"
327,Kedarnath,-2018,6.7,"Drama, Romance",116 min,"14,580","    Director:Abhishek Kapoor|     Stars:Sushant Singh Rajput, Sara Ali Khan, Nitish Bharadwaj, Alka Amin"
328,Cocktail,-2012,6.3,"Comedy, Drama, Romance",146 min,"14,514","    Director:Homi Adajania|     Stars:Saif Ali Khan, Deepika Padukone, Diana Penty, Dimple Kapadia"
329,Go Goa Gone,-2013,6.6,"Action, Adventure, Comedy",108 min,"14,474","    Directors:Krishna D.K., Raj Nidimoru|     Stars:Saif Ali Khan, Kunal Kemmu, Vir Das, Anand Tiwari"
330,Desi Boyz,-2011,5.7,"Comedy, Drama, Romance",122 min,"14,428","    Director:Rohit Dhawan|     Stars:Akshay Kumar, John Abraham, Deepika Padukone, Chitrangda Singh"
331,Jaane Bhi Do Yaaro,-1983,8.3,"Comedy, Crime, Drama",132 min,"14,375","    Director:Kundan Shah|     Stars:Naseeruddin Shah, Ravi Baswani, Bhakti Barve, Satish Shah"
332,Khuda Haafiz Chapter II: Agni Pariksha,-2022,7.5,"Action, Crime, Drama",144 min,"14,361","    Director:Faruk Kabir|     Stars:Vidyut Jammwal, Shivaleeka Oberoi, Dibyendu Bhattacharya, Sheeba Chaddha"
333,Gold,(I) (2018),7.3,"Drama, History, Sport",151 min,"14,359","    Director:Reema Kagti|     Stars:Akshay Kumar, Mouni Roy, Kunal Kapoor, Amit Sadh"
334,Vaastav: The Reality,-1999,8,"Action, Crime, Drama",145 min,"14,281","    Director:Mahesh Manjrekar|     Stars:Sanjay Dutt, Namrata Shirodkar, Reema Lagoo, Shivaji Satam"
335,Bhagam Bhag,-2006,6.6,"Comedy, Drama, Mystery",157 min,"14,048","    Director:Priyadarshan|     Stars:Akshay Kumar, Govinda, Paresh Rawal, Lara Dutta"
336,The Ghazi Attack,-2017,7.5,"Action, Thriller, War",116 min,"14,031","    Director:Sankalp Reddy|     Stars:Rana Daggubati, Kay Kay Menon, Atul Kulkarni, Om Puri"
337,Yes Boss,-1997,6.7,"Comedy, Drama, Musical",163 min,"13,736","    Director:Aziz Mirza|     Stars:Shah Rukh Khan, Juhi Chawla, Aditya Pancholi, Kashmira Shah"
338,Paheli,-2005,6.4,"Comedy, Drama, Fantasy",140 min,"13,702","    Director:Amol Palekar|     Stars:Shah Rukh Khan, Rani Mukerji, Anupam Kher, Naseeruddin Shah"
339,Aankhen,-2002,7.4,"Crime, Drama, Thriller",165 min,"13,616","    Director:Vipul Amrutlal Shah|     Stars:Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal"
340,Jersey,-2022,7.3,"Drama, Sport",170 min,"13,592","    Director:Gowtam Tinnanuri|     Stars:Shahid Kapoor, Mrunal Thakur, Pankaj Kapur, Prit Kamani"
341,NH10,-2015,7.2,"Action, Crime, Drama",115 min,"13,590","    Director:Navdeep Singh|     Stars:Anushka Sharma, Neil Bhoopalam, Darshan Kumaar, Deepti Naval"
342,Housefull 4,-2019,3.5,"Action, Comedy, Drama",145 min,"13,475","    Director:Farhad Samji|     Stars:Akshay Kumar, Riteish Deshmukh, Bobby Deol, Kriti Sanon"
343,Humpty Sharma Ki Dulhania,-2014,6,"Comedy, Drama, Romance",133 min,"13,465","    Director:Shashank Khaitan|     Stars:Varun Dhawan, Alia Bhatt, Ashutosh Rana, Sidharth Shukla"
344,Brothers,(I) (2015),6.4,"Action, Drama, Sport",156 min,"13,448","    Director:Karan Malhotra|     Stars:Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez"
345,Dhobi Ghat,-2010,7,Drama,100 min,"13,444","    Director:Kiran Rao|     Stars:Prateik Babbar, Monica Dogra, Kriti Malhotra, Aamir Khan"
346,Tees Maar Khan,-2010,2.6,"Comedy, Crime",135 min,"13,361","    Director:Farah Khan|     Stars:Akshay Kumar, Katrina Kaif, Akshaye Khanna, Rajiv Laxman"
347,Table No.21,-2013,7.2,"Adventure, Drama, Thriller",108 min,"13,358","    Director:Aditya Datt|     Stars:Paresh Rawal, Rajeev Khandelwal, Tina Desai, Dhruv Ganesh"
348,Ittefaq,-2017,7.2,"Crime, Mystery, Thriller",105 min,"13,353","    Director:Abhay Chopra|     Stars:Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna, Mandira Bedi"
349,Te3n,-2016,7.2,"Drama, Mystery, Thriller",136 min,"13,352","    Director:Ribhu Dasgupta|     Stars:Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Mukesh Chhabra"
350,Chachi 420,-1997,7.4,"Comedy, Drama, Family",155 min,"13,337","    Director:Kamal Haasan|     Stars:Kamal Haasan, Amrish Puri, Om Puri, Tabu"
351,Gulabo Sitabo,-2020,6.3,"Comedy, Drama",124 min,"13,178","    Director:Shoojit Sircar|     Stars:Amitabh Bachchan, Ayushmann Khurrana, Vijay Raaz, Brijendra Kala"
352,Trapped,(XVII) (2016),7.5,"Drama, Thriller",105 min,"13,177","    Director:Vikramaditya Motwane|     Stars:Rajkummar Rao, Geetanjali Thapa, Shiladitya Sen, Rahul Patel"
353,Baaghi 3,-2020,2.1,"Action, Adventure, Thriller",143 min,"13,072","    Director:Ahmed Khan|     Stars:Ahmad Harhash, Tiger Shroff, Riteish Deshmukh, Shraddha Kapoor"
354,Veere Di Wedding,-2018,3.3,Comedy,135 min,"13,065","    Director:Shashanka Ghosh|     Stars:Kareena Kapoor, Sonam Kapoor, Swara Bhasker, Shikha Talsania"
355,Mardaani,-2014,7.3,"Action, Crime, Drama",113 min,"13,052","    Director:Pradeep Sarkar|     Stars:Rani Mukerji, Jisshu Sengupta, Anant Vidhaat, Mona Ambegaonkar"
356,Hichki,-2018,7.5,"Comedy, Drama",116 min,"13,045","    Director:Malhotra P. Siddharth|     Stars:Rani Mukerji, Neeraj Kabi, Rohit Saraf, Supriya Pilgaonkar"
357,Bulbbul,-2020,6.5,"Drama, Horror, Mystery",94 min,"12,980","    Director:Anvita Dutt|     Stars:Triptii Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chattopadhyay"
358,Partner,-2007,5.8,"Comedy, Drama, Romance",155 min,"12,918","    Director:David Dhawan|     Stars:Salman Khan, Govinda, Lara Dutta, Katrina Kaif"
359,Chupke Chupke,-1975,8.3,"Comedy, Drama, Romance",146 min,"12,854","    Director:Hrishikesh Mukherjee|     Stars:Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bachchan"
360,Badrinath Ki Dulhania,-2017,6.1,"Comedy, Drama, Romance",139 min,"12,845","    Director:Shashank Khaitan|     Stars:Varun Dhawan, Alia Bhatt, Sahil Vaid, Swanand Kirkire"
361,Fashion,-2008,6.9,"Drama, Romance",167 min,"12,809","    Director:Madhur Bhandarkar|     Stars:Priyanka Chopra Jonas, Kangana Ranaut, Mugdha Godse, Arbaaz Khan"
362,Karthik Calling Karthik,-2010,7.1,"Drama, Mystery, Romance",135 min,"12,749","    Director:Vijay Lalwani|     Stars:Farhan Akhtar, Deepika Padukone, Ram Kapoor, Shefali Shah"
363,Johnny Gaddaar,-2007,7.9,"Crime, Drama, Mystery",135 min,"12,707","    Director:Sriram Raghavan|     Stars:Dharmendra, Rimi Sen, Ashwini Kalsekar, Neil Nitin Mukesh"
364,Miss Lovely,-2012,7.6,"Crime, Drama, Romance",113 min,"12,704","    Director:Ashim Ahluwalia|     Stars:Nawazuddin Siddiqui, Niharika Singh, Anil George, Zeena Bhatia"
365,Maine Pyar Kiya,-1989,7.3,"Drama, Musical, Romance",192 min,"12,678","    Director:Sooraj R. Barjatya|     Stars:Salman Khan, Bhagyashree Patwardhan, Alok Nath, Rajeev Verma"
366,Billu,-2009,6.3,"Comedy, Drama",137 min,"12,511","    Director:Priyadarshan|     Stars:Irrfan Khan, Lara Dutta, Om Puri, Govardhan Asrani"
367,Don,-1978,7.7,"Action, Crime, Thriller",175 min,"12,504","    Director:Chandra Barot|     Stars:Amitabh Bachchan, Zeenat Aman, Pran Sikand, Iftekhar"
368,Peepli [Live],-2010,7.4,"Comedy, Drama",95 min,"12,502","    Directors:Anusha Rizvi, Mahmood Farooqui|     Stars:Onkar Das Manikpuri, Raghuvir Yadav, Shalini Vatsa, Farrukh Jaffar"
369,Luka Chuppi,(I) (2019),6.3,"Comedy, Romance",126 min,"12,441","    Director:Laxman Utekar|     Stars:Kartik Aaryan, Kriti Sanon, Aparshakti Khurana, Pankaj Tripathi"
370,Rashmi Rocket,-2021,6.9,"Drama, Sport",129 min,"12,421","    Director:Akarsh Khurana|     Stars:Taapsee Pannu, Priyanshu Painyuli, Abhishek Banerjee, Supriya Pathak"
371,Life in a Metro,-2007,7.4,"Comedy, Drama, Romance",132 min,"12,389","    Director:Anurag Basu|     Stars:Dharmendra, Irrfan Khan, Konkona Sen Sharma, Kay Kay Menon"
372,Paa,-2009,7.1,"Comedy, Drama",133 min,"12,327","    Director:R. Balki|     Stars:Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal"
373,No Entry,-2005,6.6,"Comedy, Drama, Musical",158 min,"12,326","    Director:Anees Bazmee|     Stars:Salman Khan, Anil Kapoor, Fardeen Khan, Bipasha Basu"
374,Fukrey,-2013,6.9,"Comedy, Drama, Romance",139 min,"12,318","    Director:Mrighdeep Lamba|     Stars:Pulkit Samrat, Manjot Singh, Ali Fazal, Varun Sharma"
375,Sonchiriya,-2019,7.9,"Action, Crime, Drama",143 min,"12,278","    Director:Abhishek Chaubey|     Stars:Sushant Singh Rajput, Bhumi Pednekar, Ashutosh Rana, Ranvir Shorey"
376,Gadar: Ek Prem Katha,-2001,7.3,"Action, Drama, Romance",170 min,"12,266","    Director:Anil Sharma|     Stars:Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey"
377,Mohenjo Daro,-2016,5.6,"Action, Adventure, Drama",155 min,"12,230","    Director:Ashutosh Gowariker|     Stars:Hrithik Roshan, Pooja Hegde, Kabir Bedi, Arunoday Singh"
378,Batla House,-2019,7.2,"Action, Crime, Drama",146 min,"12,194","    Director:Nikkhil Advani|     Stars:John Abraham, Nora Fatehi, Mrunal Thakur, Rajesh Sharma"
379,Ankhon Dekhi,-2013,7.9,"Comedy, Drama",107 min,"12,073","    Director:Rajat Kapoor|     Stars:Sanjay Mishra, Abhinay Raj Singh, Seema Pahwa, Rajat Kapoor"
380,No One Killed Jessica,-2011,7.2,"Biography, Crime, Drama",136 min,"12,058","    Director:Raj Kumar Gupta|     Stars:Rani Mukerji, Vidya Balan, Myra Karn, Neil Bhoopalam"
381,Bheja Fry,-2007,7.6,"Comedy, Drama",95 min,"12,028","    Director:Sagar Ballary|     Stars:Vinay Pathak, Rajat Kapoor, Sarika Thakur, Milind Soman"
382,Bachna Ae Haseeno,-2008,6.2,"Comedy, Drama, Romance",152 min,"11,959","    Director:Siddharth Anand|     Stars:Ranbir Kapoor, Deepika Padukone, Bipasha Basu, Minissha Lamba"
383,Selfiee,-2023,5.9,"Action, Comedy, Drama",148 min,"11,862","    Director:Raj Mehta|     Stars:Adah Sharma, Akshay Kumar, Nushrratt Bharuccha, Mrunal Thakur"
384,Dhaakad,-2022,3.9,"Action, Thriller",135 min,"11,833","    Director:Razneesh Ghai|     Stars:Kangana Ranaut, Arjun Rampal, Sharib Hashmi, Divya Dutta"
385,New York,-2009,6.8,"Crime, Drama, Thriller",153 min,"11,827","    Director:Kabir Khan|     Stars:John Abraham, Katrina Kaif, Neil Nitin Mukesh, Irrfan Khan"
386,Chup Chup Ke,-2006,6.9,"Comedy, Drama, Romance",164 min,"11,697","    Directors:Priyadarshan, Kookie Gulati|     Stars:Shahid Kapoor, Kareena Kapoor, Om Puri, Paresh Rawal"
387,Ghulam,-1998,7.2,"Action, Crime, Drama",162 min,"11,672","    Director:Vikram Bhatt|     Stars:Aamir Khan, Rani Mukerji, Rajit Kapoor, Mita Vashisht"
388,Dhokha: Round D Corner,-2022,6.2,"Crime, Drama, Thriller",122 min,"11,647","    Director:Kookie Gulati|     Stars:Madhavan, Khushali Kumar, Aparshakti Khurana, Darshan Kumaar"
389,Khatta Meetha,-2010,5.9,"Comedy, Crime, Drama",157 min,"11,628","    Director:Priyadarshan|     Stars:Akshay Kumar, Trisha Krishnan, Kulbhushan Kharbanda, Aruna Irani"
390,Doragon bôru sûpâ: Sûpâ hîrô,-2022,7.1,"Animation, Action, Adventure",100 min,"11,616","    Director:Tetsuro Kodama|     Stars:Masako Nozawa, Aya Hisakawa, Ryô Horikawa, Takeshi Kusao"
391,Thank God,-2022,5.6,"Comedy, Fantasy",121 min,"11,501","    Director:Indra Kumar|     Stars:Sidharth Malhotra, Ajay Devgn, Rakul Preet Singh, Mahesh Balraj"
392,Boss,(I) (2013),5.1,"Action, Comedy, Crime",143 min,"11,492","    Director:Anthony D'Souza|     Stars:Akshay Kumar, Shiv Panditt, Mithun Chakraborty, Ronit Roy"
393,Aamir,-2008,7.6,"Action, Crime, Drama",99 min,"11,423","    Director:Raj Kumar Gupta|     Stars:Rajeev Khandelwal, Mukesh Agrohari, Supavitra Babul, Vasan Bala"
394,Sherni,-2021,6.8,"Action, Adventure, Drama",131 min,"11,357","    Director:Amit Masurkar|     Stars:Vidya Balan, Vijay Raaz, Sharat Saxena, Neeraj Kabi"
395,Deewaar,-1975,8,"Action, Crime, Drama",174 min,"11,353","    Director:Yash Chopra|     Stars:Amitabh Bachchan, Shashi Kapoor, Nirupa Roy, Parveen Babi"
396,Lust Stories,-2018,6.4,"Drama, Romance",120 min,"11,344","    Directors:Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap|     Stars:Radhika Apte, Akash Thosar, Kiara Advani, Randeep Jha"
397,MSG: The Messenger of God,-2015,6,"Action, Comedy, Drama",197 min,"11,319","    Directors:Jeetu Arora, Gurmeet Ram Rahim Singh|     Stars:Gurmeet Ram Rahim Singh, Daniel Kaleb, Flora Saini, Jayshree Soni"
398,Maqbool,-2003,8,"Crime, Drama, Thriller",132 min,"11,308","    Director:Vishal Bhardwaj|     Stars:Irrfan Khan, Tabu, Pankaj Kapur, Naseeruddin Shah"
399,Ishq,-1997,6.8,"Action, Comedy, Drama",161 min,"11,280","    Director:Indra Kumar|     Stars:Aamir Khan, Ajay Devgn, Juhi Chawla, Kajol"
400,Malang - Unleash the Madness,-2020,6.5,"Action, Crime, Drama",135 min,"11,270","    Director:Mohit Suri|     Stars:Aditya Roy Kapoor, Anil Kapoor, Disha Patani, Kunal Kemmu"
401,Baaghi 2,-2018,4.8,"Action, Crime, Drama",137 min,"11,218","    Director:Ahmed Khan|     Stars:Disha Patani, Jacqueline Fernandez, Tiger Shroff, Randeep Hooda"
402,Judwaa 2,-2017,3.6,"Action, Comedy",145 min,"11,202","    Director:David Dhawan|     Stars:Varun Dhawan, Abhinay Raj Singh, Jacqueline Fernandez, Taapsee Pannu"
403,Mom,(I) (2017),7.2,"Crime, Drama, Thriller",146 min,"11,173","    Director:Ravi Udyawar|     Stars:Abhinay Raj Singh, Sridevi, Sajal Ali, Akshaye Khanna"
404,Blackmail,(I) (2018),7.1,"Comedy, Thriller",138 min,"11,133","    Director:Abhinay Deo|     Stars:Irrfan Khan, Kirti Kulhari, Urmila Matondkar, Divya Dutta"
405,Qayamat Se Qayamat Tak,-1988,7.4,"Drama, Musical, Romance",162 min,"11,116","    Director:Mansoor Khan|     Stars:Aamir Khan, Juhi Chawla, Goga Kapoor, Dalip Tahil"
406,Mary Kom,-2014,6.8,"Action, Biography, Drama",122 min,"11,101","    Director:Omung Kumar|     Stars:Priyanka Chopra Jonas, Sunil Thapa, Robin Das, Rajni Basumatary"
407,Love Hostel,-2022,5.9,"Action, Crime, Romance",100 min,"11,067","    Director:Shanker Raman|     Stars:Bobby Deol, Vikrant Massey, Sanya Malhotra, Raj Arjun"
408,Jaadugar,-2022,6.9,"Comedy, Drama, Fantasy",167 min,"11,028","    Director:Sameer Saxena|     Stars:Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi, Raksha Panwar"
409,Shivaay,-2016,6.1,"Action, Adventure, Crime",153 min,"10,960","    Director:Ajay Devgn|     Stars:Ajay Devgn, Abigail Eames, Erika Kaar, Sayyeshaa Saigal"
410,Jagga Jasoos,-2017,6.3,"Action, Adventure, Comedy",161 min,"10,895","    Directors:Anurag Basu, Shubzz|     Stars:Ranbir Kapoor, Katrina Kaif, Saswata Chatterjee, Chitrak Bandyopadhyay"
411,Sharmaji Namkeen,-2022,7.6,"Comedy, Drama, Family",119 min,"10,820","    Director:Hitesh Bhatia|     Stars:Rishi Kapoor, Paresh Rawal, Juhi Chawla, Isha Talwar"
412,Kaun Pravin Tambe?,-2022,8.4,"Biography, Drama, Sport",134 min,"10,777","    Director:Jayprad Desai|     Stars:Shreyas Talpade, Gaurav Kamble, Arif Zakaria, Asif Ali"
413,Chaman Bahaar,-2020,6.9,"Comedy, Drama",111 min,"10,754","    Director:Apurva Dhar Badgaiyann|     Stars:Jitendra Kumar, Ritika Badiani, Bhuvan Arora, Dherendra Kumar Tiwari"
414,Gunda,-1998,7.3,"Action, Comedy, Crime",129 min,"10,747","    Director:Kanti Shah|     Stars:Mithun Chakraborty, Mukesh Rishi, Mohan Joshi, Shakti Kapoor"
415,Shubh Mangal Saavdhan,-2017,6.9,"Comedy, Romance",119 min,"10,660","    Director:R.S. Prasanna|     Stars:Ayushmann Khurrana, Bhumi Pednekar, Seema Pahwa, Anshul Chauhan"
416,Tere Bin Laden,-2010,7.2,"Comedy, Drama",95 min,"10,660","    Director:Abhishek Sharma|     Stars:Ali Zafar, Pradhuman Singh, Piyush Mishra, Nikhil Ratnaparkhi"
417,Sanak,-2021,6.7,"Action, Thriller",116 min,"10,645","    Director:Kanishk Varma|     Stars:Vidyut Jammwal, Neha Dhupia, Chandan Roy Sanyal, Rukmini Maitra"
418,Luck by Chance,-2009,7.1,Drama,156 min,"10,598","    Director:Zoya Akhtar|     Stars:Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor, Dimple Kapadia"
