,Movie Name,Year of Release,Rating,Genre,Runtime,No. of Voters,Director and Cast
101,Drishyam 2,-2022,8.2,"Crime, Drama, Mystery",140 min,"36,456","    Director:Abhishek Pathak|     Stars:Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran"
102,Dilwale,-2015,5,"Action, Comedy, Drama",158 min,"36,440","    Director:Rohit Shetty|     Stars:Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon"
103,Talvar,-2015,8.1,"Crime, Drama, Mystery",132 min,"36,421","    Director:Meghna Gulzar|     Stars:Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
104,Ek Tha Tiger,-2012,5.6,"Action, Adventure, Romance",132 min,"36,179","    Directors:Mathur Goswami, Kabir Khan|     Stars:Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth"
105,Bachchhan Paandey,-2022,5.2,"Action, Comedy, Crime",147 min,"36,140","    Director:Farhad Samji|     Stars:Akshay Kumar, Kriti Sanon, Jacqueline Fernandez, Pankaj Tripathi"
106,Badhaai ho,-2018,7.9,"Comedy, Drama",124 min,"35,929","    Director:Amit Ravindernath Sharma|     Stars:Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra"
107,Kisi Ka Bhai Kisi Ki Jaan,-2023,6.8,"Action, Comedy, Drama",145 min,"35,729","    Director:Farhad Samji|     Stars:Salman Khan, Pooja Hegde, Venkatesh Daggubati, Aamir Naik"
108,Stree,-2018,7.5,"Comedy, Horror",128 min,"35,721","    Director:Amar Kaushik|     Stars:Ashish Chhipa, Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi"
109,Kabir Singh,-2019,7,"Action, Drama, Romance",173 min,"35,696","    Director:Sandeep Reddy Vanga|     Stars:Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar"
110,Black,-2005,8.1,Drama,122 min,"35,461","    Director:Sanjay Leela Bhansali|     Stars:Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor"
111,Gunjan Saxena: The Kargil Girl,-2020,5.5,"Action, Biography, Drama",112 min,"35,140","    Directors:ALi Khan AK, Sharan Sharma|     Stars:Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Manav Vij"
112,Article 15,-2019,8.1,"Crime, Drama, Mystery",130 min,"35,065","    Director:Anubhav Sinha|     Stars:Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra"
113,The Tashkent Files,-2019,8.1,"Drama, Mystery, Thriller",134 min,"34,984","    Director:Vivek Agnihotri|     Stars:Shweta Basu Prasad, Mithun Chakraborty, Naseeruddin Shah, Pankaj Tripathi"
114,Padmaavat,-2018,7,"Drama, History, Romance",164 min,"34,466","    Director:Sanjay Leela Bhansali|     Stars:Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari"
115,Anand,-1971,8.1,"Drama, Musical",122 min,"34,391","    Director:Hrishikesh Mukherjee|     Stars:Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo"
116,Tanhaji: The Unsung Warrior,-2020,7.5,"Action, Biography, Drama",135 min,"34,037","    Director:Om Raut|     Stars:Ajay Devgn, Saif Ali Khan, Sharad Kelkar, Kajol"
117,Super 30,-2019,7.9,"Biography, Drama",154 min,"33,880","    Director:Vikas Bahl|     Stars:Hrithik Roshan, Mrunal Thakur, Nandish Singh Sandhu, Veerendra Saxena"
118,Fanaa,-2006,7.1,"Action, Drama, Romance",168 min,"33,873","    Director:Kunal Kohli|     Stars:Aamir Khan, Kajol, Rishi Kapoor, Tabu"
119,Jodhaa Akbar,-2008,7.5,"Action, Drama, History",213 min,"33,575","    Director:Ashutosh Gowariker|     Stars:Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Poonam Sinha"
120,Raanjhanaa,-2013,7.6,"Drama, Romance",140 min,"33,499","    Director:Aanand L. Rai|     Stars:Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub, Swara Bhasker"
121,Dabangg,-2010,6.2,"Action, Comedy, Crime",126 min,"33,354","    Director:Abhinav Kashyap|     Stars:Salman Khan, Sonakshi Sinha, Sonu Sood, Arbaaz Khan"
122,Piku,-2015,7.6,"Comedy, Drama",123 min,"32,617","    Director:Shoojit Sircar|     Stars:Deepika Padukone, Amitabh Bachchan, Irrfan Khan, Moushumi Chatterjee"
123,Wake Up Sid,-2009,7.6,"Comedy, Drama, Romance",138 min,"32,493","    Director:Ayan Mukerji|     Stars:Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak, Anupam Kher"
124,Raazi,-2018,7.7,"Action, Drama, Thriller",138 min,"32,225","    Director:Meghna Gulzar|     Stars:Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma"
125,Bhool Bhulaiyaa 2,-2022,5.7,"Comedy, Drama, Horror",143 min,"31,954","    Director:Anees Bazmee|     Stars:Tabu, Kartik Aaryan, Kiara Advani, Rajpal Naurang Yadav"
126,Bharat,-2019,4.7,"Action, Comedy, Drama",150 min,"31,659","    Director:Ali Abbas Zafar|     Stars:Salman Khan, Katrina Kaif, Sunil Grover, Tabu"
127,Udta Punjab,-2016,7.7,"Action, Crime, Drama",148 min,"31,374","    Director:Abhishek Chaubey|     Stars:Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh"
128,Mohabbatein,-2000,7,"Drama, Musical, Romance",216 min,"31,355","    Director:Aditya Chopra|     Stars:Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj"
129,Dev.D,-2009,7.9,"Comedy, Drama, Romance",144 min,"31,335","    Director:Anurag Kashyap|     Stars:Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya"
130,Freddy,-2022,7.5,"Drama, Mystery, Romance",124 min,"31,102","    Director:Shashanka Ghosh|     Stars:Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz"
131,Aashiqui 2,-2013,7,"Drama, Music, Musical",132 min,"30,995","    Director:Mohit Suri|     Stars:Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya"
132,Tiger Zinda Hai,-2017,5.9,"Action, Adventure, Thriller",161 min,"30,961","    Directors:Mehmet Tutkun, Ali Abbas Zafar, Musa Muhammed Olayinka|     Stars:Salman Khan, Katrina Kaif, Paresh Rawal, Anupriya Goenka"
133,Hindi Medium,-2017,7.8,"Comedy, Drama",132 min,"30,424","    Director:Saket Chaudhary|     Stars:Irrfan Khan, Saba Qamar, Dishita Sehgal, Deepak Dobriyal"
134,Major,-2022,8.1,"Action, Biography, Drama",150 min,"30,364","    Director:Sashi Kiran Tikka|     Stars:Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar"
135,Bhool Bhulaiyaa,-2007,7.4,"Comedy, Horror, Mystery",159 min,"30,117","    Director:Priyadarshan|     Stars:Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel"
136,Dil Se..,-1998,7.5,"Drama, Romance",144 min,"29,838","    Director:Mani Ratnam|     Stars:Shah Rukh Khan, Manisha Koirala, Preity G Zinta, Raghuvir Yadav"
